Site;Latitude;Longitude;PS_plus_proche;PS_latitude;PS_longitude;Distance_km
Dépôt Sainte Livrade sur Lot Julia;44.39456658602275; 0.593148108313063;Sainte-Livrade-sur-Lot;44.394676888901344;0.6073705539219958;1.133207
Sud Production Lafox;44.16921657545848; 0.6923442171180901;Boé;44.173251634914;0.6630444327021436;2.385764
PA Monflanquin (Expalliance);44.538731337642034; 0.7736529319267194;Cancon;44.53679385894234;0.6467341173080908;10.089577
Saint Pierre de Clairac;44.17265169649369; 0.737556405358555;Boé;44.173251634914;0.6630444327021436;5.959306
PA Bazas;44.44668970909657; -0.2344759820548632;Bazas;44.41362896652908;-0.2178994378387507;3.903643
Bureaux/Maintenance Gardes Tonneins;44.3897798975188; 0.31862094133064695;Tonneins;44.41153818489076;0.305753537060125;2.626109
TDS CE Boutx;;;;;;
Monsegur;44.64555547209258; 0.066892181484821;Auriolles;44.7450061476583;0.0349261376019113;11.338269
Lanouaille;45.38815489649573; 1.1379072738321963;Saint-Martial-d'Albarède;45.329976904020576;1.044559211142276;9.762314
Gardes Tonneins;44.3897798975188; 0.31862094133064695;Tonneins;44.41153818489076;0.305753537060125;2.626109
Cancon;44.53659713627984; 0.6209444474718078;Cancon;44.53679385894234;0.6467341173080908;2.049871
Castelmoron sur Lot (Site);44.40397146709465; 0.4991047266439535;Sainte-Livrade-sur-Lot;44.394676888901344;0.6073705539219958;8.686753
Tayrac;44.195357442041335; 0.802632329227198;Valence;44.116532419178185;0.8830392018824986;10.866810
Tonneins La Queille (Silo);44.40255645540206; 0.3046827802106036;Tonneins;44.41153818489076;0.305753537060125;1.001689
Saint Colomb de Lauzun;44.62752064975149; 0.4645247685648485;La Sauvetat-du-Dropt;44.64885547076901;0.3401089863351944;10.152044
Castillonnès;44.66319579882708; 0.6016593372948059;Doudrac;44.66076459938722;0.6693072509329964;5.371890
La Réole Frimont;44.583407739318346; -0.07549126413873629;La Réole;44.59253145291747;-0.0319999667526807;3.599380
Nérac;44.15731349579836; 0.3119354205825428;Nérac;44.14748166373991;0.3243770629010126;1.477898
Castets en Dorthe;44.55836839553512; -0.15274274167498172;Langon;44.53564463296002;-0.2420726749784557;7.534405
